"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id_clean","symbol","entrez","log2FoldChange_raw","symbol_for_plot"
"ENSG00000178162.8",31.5762317410647,-1.03516334234257,0.269988680427983,-4.12914913511575,3.64108181236296e-05,0.000145023097197029,"ENSG00000178162",NA,NA,-1.11482352628025,"ENSG00000178162"
"ENSG00000101447.14",258.345649625603,-1.36254725391235,0.367774831419227,-4.12226147423843,3.75171002930104e-05,0.000149028588825968,"ENSG00000101447","FAM83D","81610",-1.51606401875401,"FAM83D"
"ENSG00000243960.1",33.664940295237,-1.61502451306517,0.43950831348893,-4.12075644816053,3.77630465097964e-05,0.00014990503966319,"ENSG00000243960",NA,NA,-1.81110671682967,"ENSG00000243960"
"ENSG00000256061.7",57.4290095356295,-1.82934859010796,0.507622924096483,-4.11791145141297,3.82321532906533e-05,0.000151395758968865,"ENSG00000256061","DNAAF4","161582",-2.09034625213664,"DNAAF4"
"ENSG00000107731.12",560.924911703967,-1.18861234555218,0.318286666614996,-4.10158038823297,4.10337898891143e-05,0.000161876251700186,"ENSG00000107731","UNC5B","219699",-1.30547834962412,"UNC5B"
"ENSG00000182912.6",61.8830416970617,-1.05229922943621,0.277616446496053,-4.0993969558152,4.14228044653891e-05,0.000163157376099046,"ENSG00000182912",NA,NA,-1.13806001565015,"ENSG00000182912"
"ENSG00000274395.1",9.0457901099416,-2.1775611648496,0.601506919261857,-4.09353635690738,4.24843424424502e-05,0.000167153361498168,"ENSG00000274395",NA,NA,-2.46229044292977,"ENSG00000274395"
"ENSG00000137642.12",365.510010762194,-1.33480747925879,0.364016981188796,-4.08653470607673,4.37864012151583e-05,0.000171706072902867,"ENSG00000137642","SORL1","6653",-1.4875680272293,"SORL1"
"ENSG00000151090.18",50.0831044443484,-1.22148528552041,0.328674051863142,-4.08399805790122,4.42674007482915e-05,0.000173477452281949,"ENSG00000151090","THRB","7068",-1.3423041894916,"THRB"
"ENSG00000245694.9",60.3355513579216,-1.1808371861929,0.316077530582715,-4.08176806053562,4.46943887093902e-05,0.000174919329694623,"ENSG00000245694","CRNDE","643911",-1.2901551689855,"CRNDE"
"ENSG00000186767.6",156.755809511554,-1.09412130731522,0.292623014914666,-4.0787864584298,4.52713957797763e-05,0.000176827086988612,"ENSG00000186767","SPIN4","139886",-1.19354679065884,"SPIN4"
"ENSG00000031691.6",242.917395866687,-1.00373703482777,0.266058757376392,-4.07503806664323,4.60068206915097e-05,0.000179581203015487,"ENSG00000031691","CENPQ","55166",-1.08419956427259,"CENPQ"
"ENSG00000167747.14",758.059217005058,-1.2620552428741,0.343767087913365,-4.07105476167258,4.68007447681016e-05,0.000182359753566916,"ENSG00000167747",NA,NA,-1.39949464015602,"ENSG00000167747"
"ENSG00000273291.5",5.00321807699406,-3.86844739522797,1.09235285339681,-4.06800084120455,4.74182102415967e-05,0.000184522976223704,"ENSG00000273291",NA,NA,-4.44369232651043,"ENSG00000273291"
"ENSG00000163629.12",345.528224488228,-1.13514447825194,0.305801948877676,-4.06519762833823,4.79917778608821e-05,0.000186714070959631,"ENSG00000163629","PTPN13","5783",-1.24314535731874,"PTPN13"
"ENSG00000285103.2",18.347246184399,-1.5006628379699,0.410829464812306,-4.05503508327664,5.01267787350915e-05,0.000194254930588759,"ENSG00000285103",NA,NA,-1.66592789305767,"ENSG00000285103"
"ENSG00000136634.6",181.58433446962,-1.04397376992162,0.280082462242046,-4.05374425680614,5.04043187628321e-05,0.000195287890353837,"ENSG00000136634","IL10","3586",-1.13538267274582,"IL10"
"ENSG00000111452.12",42.1216164334805,-1.60598841497883,0.449359669550175,-4.04556025351139,5.21981373558513e-05,0.000201534933106276,"ENSG00000111452","ADGRD1","283383",-1.8179116186632,"ADGRD1"
"ENSG00000111863.12",41.4677336967762,-1.56821941164067,0.437371609386244,-4.03947390103555,5.35712283683168e-05,0.000206253871438849,"ENSG00000111863","ADTRP","84830",-1.76675120116965,"ADTRP"
"ENSG00000122861.15",3793.97149733481,-1.15769834090182,0.315835919712646,-4.03518283090891,5.45597958677871e-05,0.000209878071896605,"ENSG00000122861","PLAU","5328",-1.27445568060879,"PLAU"
"ENSG00000188985.6",131.550371546638,-1.18801598729791,0.324572092193165,-4.02777399685478,5.63074297215686e-05,0.00021617965889214,"ENSG00000188985",NA,NA,-1.30730303304038,"ENSG00000188985"
